Description,Price,Category,Shop Name,Shop Function
Fine Mead, 50 gp per barrel,Item,The Honeyed Horn,Meadmaker
Local Wildflower Honey, 1 sp per pound,Item,The Honeyed Horn,Meadmaker
Premium Tasting Flight (5 varieties including aged meads), 1 gp,Item,The Honeyed Horn,Meadmaker
Premium Wildflower Honey, 5 sp per pound,Item,The Honeyed Horn,Meadmaker
Quality Mead, 1 sp per bottle,Item,The Honeyed Horn,Meadmaker
Quality Mead, 10 gp per barrel,Item,The Honeyed Horn,Meadmaker
Rare Honey (from specific flowers or regions), 1 gp per pound,Item,The Honeyed Horn,Meadmaker
Rare Ingredients (specialty herbs or imported spices), 5 sp to 1 gp per ounce,Item,The Honeyed Horn,Meadmaker
Wooden Drinking Horn, 1 sp,Item,The Honeyed Horn,Meadmaker
Custom Mead Brewing (per batch), 10 - 50 gp depending on complexity and ingredients,Service,The Honeyed Horn,Meadmaker
Festive Mead (seasonal flavors), 1 gp per bottle,Service,The Honeyed Horn,Meadmaker
Wedding Mead, 50 gp per barrel,Service,The Honeyed Horn,Meadmaker
Ink Blotter (absorbent paper), 1 cp,Item,Scribe's Couriers,Messenger
Inkwell Refill, 1 sp,Item,Scribe's Couriers,Messenger
Map Scroll (local area), 5 sp,Item,Scribe's Couriers,Messenger
Messenger Bag, 5 sp,Item,Scribe's Couriers,Messenger
Parchment (per sheet), 2 sp,Item,Scribe's Couriers,Messenger
Parchment Scroll (longer length), 5 sp,Item,Scribe's Couriers,Messenger
Parchment Weight (brass or decorative), 5 cp,Item,Scribe's Couriers,Messenger
Personalized Wax Seal Stamp, 5 gp,Item,Scribe's Couriers,Messenger
Quill and Ink Set, 1 gp,Item,Scribe's Couriers,Messenger
Quill Holder (decorative), 1 sp,Item,Scribe's Couriers,Messenger
Seal Press (for wax seals), 5 sp,Item,Scribe's Couriers,Messenger
Sealing Wax (per stick), 5 cp,Item,Scribe's Couriers,Messenger
"Specialty Ink (e.g., metallic or colored)", 2 gp,Item,Scribe's Couriers,Messenger
Wax Seal Kit, 2 gp,Item,Scribe's Couriers,Messenger
Basic Scribe Work (per page), 2 sp,Service,Scribe's Couriers,Messenger
Delivery Confirmation Seal (proof of delivery), 2 gp,Service,Scribe's Couriers,Messenger
Express Delivery (within the town), 2 gp,Service,Scribe's Couriers,Messenger
Long-Distance Messenger Route (to a neighboring city), 10 gp,Service,Scribe's Couriers,Messenger
Official Document Transcription (per page), 5 gp,Service,Scribe's Couriers,Messenger
Rush Scribe Services (quick transcription), 1 gp per page,Service,Scribe's Couriers,Messenger
Town Crier Announcement, 5 sp,Service,Scribe's Couriers,Messenger
Translation Services (per page), 5+ sp,Service,Scribe's Couriers,Messenger
Urgent Message Priority Handling, 3 gp,Service,Scribe's Couriers,Messenger
Butter (1 pound), 5 cp,Item,Milky Way Delights Milk House,Milkman
"Butter Cake (homemade, small)", 1 sp,Item,Milky Way Delights Milk House,Milkman
Buttermilk (1 gallon), 5 cp,Item,Milky Way Delights Milk House,Milkman
Cheese (1 pound), 5-10 cp depending on type ,Item,Milky Way Delights Milk House,Milkman
"Cheese Wheel (whole, large)", 2 gp,Item,Milky Way Delights Milk House,Milkman
Cream (1 pint), 2 sp,Item,Milky Way Delights Milk House,Milkman
Fresh Cow’s Milk (1 gallon), 2 cp,Item,Milky Way Delights Milk House,Milkman
Goat’s Milk (1 gallon), 3 cp,Item,Milky Way Delights Milk House,Milkman
Sheep’s Milk (1 gallon), 4 cp,Item,Milky Way Delights Milk House,Milkman
Whey (1  gallon), 4 cp,Item,Milky Way Delights Milk House,Milkman
Yogurt (1 pint), 2 sp,Item,Milky Way Delights Milk House,Milkman
Milk Delivery (per week),1 sp,Service,Milky Way Delights Milk House,Milkman
Bundle of Hemp Twine, 2 sp ,Item,Knots & Nets Meshworks,Netmaker
Cargo Net (15 feet by 15 feet), 2 gp,Item,Knots & Nets Meshworks,Netmaker
Colored Dyes (Assorted), 1 gp per vial ,Item,Knots & Nets Meshworks,Netmaker
Decorative Net (large), 15 gp,Item,Knots & Nets Meshworks,Netmaker
Decorative Net (small), 5 gp,Item,Knots & Nets Meshworks,Netmaker
Fishing Net (10 feet by 10 feet), 1 gp,Item,Knots & Nets Meshworks,Netmaker
Hammock, 2 gp,Item,Knots & Nets Meshworks,Netmaker
Hunting Net (6 feet by 6 feet), 5 sp,Item,Knots & Nets Meshworks,Netmaker
Net Repair Kit, 1 gp ,Item,Knots & Nets Meshworks,Netmaker
Netting Tools Set, 3 gp ,Item,Knots & Nets Meshworks,Netmaker
Portable Fishing Kit, 3 gp ,Item,Knots & Nets Meshworks,Netmaker
Spool of Fine Silk Thread, 5 gp ,Item,Knots & Nets Meshworks,Netmaker
Custom Net Crafting, 2+ gp depending on size and ,Service,Knots & Nets Meshworks,Netmaker
Net Repair Service, 1 sp – 2 gp depending on size and damage ,Service,Knots & Nets Meshworks,Netmaker
Basic Pigment Color (per ounce), 5 sp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Canvas (per sheet), 2 sp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Color Exterior Paint (per gallon), 3+ gp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Color Interior Paint (per gallon), 2+ gp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Exotic Pigment Color (per ounce), 2+ gp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Mixing Bowls (set of 3), 3 cp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Paint Rollers (set of 3), 2 sp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Paintbrushes (set of 5), 1 sp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Palette Knife, 5 cp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Rare Pigment Color (per ounce), 1 gp,Item,The Chromatic Cauldron,Paint/Pigment Maker
White Paint (per gallon), 1 gp,Item,The Chromatic Cauldron,Paint/Pigment Maker
Basic Custom Pigment Color (per ounce), 1 gp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Rare Custom Pigment Color (per ounce), 25 sp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Exotic Custom Pigment Color (per ounce), 5 gp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Standard Pigment Grinding (per ounce), 2 sp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Fine Pigment Grinding (per ounce), 5 sp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Extra-Fine Pigment Grinding (per ounce), 1 gp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Standard Pigment Mixing (per color), 2 sp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Premium Pigment Mixing (per color), 5 sp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Master Pigment Mixing (per color), 1 gp,Service,The Chromatic Cauldron,Paint/Pigment Maker
Artisanal Handcrafted Leather Journal, 1 gp,Item,Inkwell's Scrolls,Paper Maker
"Calligraphy Set (Quill, Ink, and Parchment)", 3 gp,Item,Inkwell's Scrolls,Paper Maker
Fine Vellum Scroll (Quality Parchment), 5 sp,Item,Inkwell's Scrolls,Paper Maker
Gilded Paper (Gold Leaf Embellishments), 15 gp,Item,Inkwell's Scrolls,Paper Maker
Inkwell (Basic), 5 sp,Item,Inkwell's Scrolls,Paper Maker
"Inkwell (Ornate, with Intricate Designs)", 2 gp,Item,Inkwell's Scrolls,Paper Maker
Linen Parchment (Heavyweight), 4 sp,Item,Inkwell's Scrolls,Paper Maker
Papyrus Scroll, 3 sp,Item,Inkwell's Scrolls,Paper Maker
Parchment Sheet (Standard), 2 sp ,Item,Inkwell's Scrolls,Paper Maker
Quill and Ink Set, 1 gp,Item,Inkwell's Scrolls,Paper Maker
Recycled Paper (Rough Texture), 1 sp,Item,Inkwell's Scrolls,Paper Maker
Silk Paper (Smooth and Luxurious), 5 sp,Item,Inkwell's Scrolls,Paper Maker
Velum Parchment (Translucent), 6 sp,Item,Inkwell's Scrolls,Paper Maker
Custom Calligraphy (Per Page), 2 gp,Service,Inkwell's Scrolls,Paper Maker
Custom Illuminated Manuscript (Elaborate), 50 gp,Service,Inkwell's Scrolls,Paper Maker
Alchemical Fire Flask, 20 gp,Item,Herald's Hock Haven,Pawn Shop
Amethyst Crystal, 25 gp,Item,Herald's Hock Haven,Pawn Shop
Ancient Coin Collection, 30 gp,Item,Herald's Hock Haven,Pawn Shop
Aromatic Incense Bundle, 8 sp,Item,Herald's Hock Haven,Pawn Shop
Bronze Statuette, 15 gp,Item,Herald's Hock Haven,Pawn Shop
Carved Wooden Box, 8 sp,Item,Herald's Hock Haven,Pawn Shop
Chain Shirt, 50 gp,Item,Herald's Hock Haven,Pawn Shop
Compass, 10 gp,Item,Herald's Hock Haven,Pawn Shop
Dagger, 2 gp,Item,Herald's Hock Haven,Pawn Shop
Drum, 15 gp,Item,Herald's Hock Haven,Pawn Shop
Elaborate Tapestry, 30 gp,Item,Herald's Hock Haven,Pawn Shop
Emerald Pendant, 35 gp,Item,Herald's Hock Haven,Pawn Shop
Feather Quill Set, 9 sp,Item,Herald's Hock Haven,Pawn Shop
Flute, 10 gp,Item,Herald's Hock Haven,Pawn Shop
Gemstone Ring, 100 gp,Item,Herald's Hock Haven,Pawn Shop
Gold Necklace, 50 gp,Item,Herald's Hock Haven,Pawn Shop
Gold-Edged Hand Mirror, 15 gp,Item,Herald's Hock Haven,Pawn Shop
Healing Salve (small jar), 12 gp,Item,Herald's Hock Haven,Pawn Shop
Herbal Tea Blend, 6 sp,Item,Herald's Hock Haven,Pawn Shop
Intricately Carved Wooden Inkwell, 2 gp,Item,Herald's Hock Haven,Pawn Shop
Jasper Figurine, 12 gp,Item,Herald's Hock Haven,Pawn Shop
Leather Armor, 10 gp,Item,Herald's Hock Haven,Pawn Shop
Leather-Bound Book, 15 gp,Item,Herald's Hock Haven,Pawn Shop
Lock and Key Set, 8 sp,Item,Herald's Hock Haven,Pawn Shop
Longsword, 15 gp,Item,Herald's Hock Haven,Pawn Shop
Lute, 25 gp,Item,Herald's Hock Haven,Pawn Shop
Map of Unknown Lands, 50 gp,Item,Herald's Hock Haven,Pawn Shop
Mortar and Pestle, 5 sp,Item,Herald's Hock Haven,Pawn Shop
Oddly Shaped Crystal, 5 gp,Item,Herald's Hock Haven,Pawn Shop
Ornate Silver Spoon Set, 10 gp,Item,Herald's Hock Haven,Pawn Shop
Ornate Standing Mirror, 30 gp,Item,Herald's Hock Haven,Pawn Shop
Painted Portrait, 40 gp,Item,Herald's Hock Haven,Pawn Shop
Petrified Animal Skull, 2 gp,Item,Herald's Hock Haven,Pawn Shop
Rare Pepper Blend, 1 gp,Item,Herald's Hock Haven,Pawn Shop
Relaxation Elixir, 18 gp,Item,Herald's Hock Haven,Pawn Shop
Saffron Threads (small vial), 5 gp,Item,Herald's Hock Haven,Pawn Shop
Scented Oil Vial, 5 sp,Item,Herald's Hock Haven,Pawn Shop
Sextant, 15 gp,Item,Herald's Hock Haven,Pawn Shop
Shortbow, 25 gp,Item,Herald's Hock Haven,Pawn Shop
Silk Robe, 20 gp,Item,Herald's Hock Haven,Pawn Shop
Silver Bracelet, 25 gp,Item,Herald's Hock Haven,Pawn Shop
Silver Goblet, 15 gp,Item,Herald's Hock Haven,Pawn Shop
Silver Mirror, 5 gp,Item,Herald's Hock Haven,Pawn Shop
Silver Serving Tray, 25 gp,Item,Herald's Hock Haven,Pawn Shop
Silver-Framed Wall Mirror, 20 gp,Item,Herald's Hock Haven,Pawn Shop
Spice Kit Assortment, 15 sp,Item,Herald's Hock Haven,Pawn Shop
Vial of Rare Reagents, 30 gp,Item,Herald's Hock Haven,Pawn Shop
Wooden Carving, 10 gp,Item,Herald's Hock Haven,Pawn Shop
Wooden Shield, 5 gp,Item,Herald's Hock Haven,Pawn Shop
Woolen Cloak, 5 gp,Item,Herald's Hock Haven,Pawn Shop
Authentication of Magical Items, 30 gp,Service,Herald's Hock Haven,Pawn Shop
Basic Item Appraisal, 5 sp,Service,Herald's Hock Haven,Pawn Shop
Complex Item Appraisal, 1 gp,Service,Herald's Hock Haven,Pawn Shop
Detailed Artifact Appraisal, 3 gp,Service,Herald's Hock Haven,Pawn Shop
Loan – One Month Term, 20% interest,Service,Herald's Hock Haven,Pawn Shop
Loan Extension Fee – one week, 5 gp,Service,Herald's Hock Haven,Pawn Shop
Bag of Loose Peat (5 pounds), 5 cp,Item,Bog's Bounty,Peat Digger
Peat Bricks (Bundle of 10), 5 sp,Item,Bog's Bounty,Peat Digger
Peat-Infused Soap, 3 cp,Item,Bog's Bounty,Peat Digger
Custom Peat Blending, 2 gp for a personalized blend of peat for specific burning characteristics.,Service,Bog's Bounty,Peat Digger
Peat Bricks Delivery (Local), 5 sp to 2 gp depending on quantity.,Service,Bog's Bounty,Peat Digger
Basic Grooming Kit, 1 gp,Item,Arcane Bonds Bestiary,Pet Shop
Collar with Engraved Tag, 1 gp,Item,Arcane Bonds Bestiary,Pet Shop
Herb Pouch (for warding off pests), 5 sp,Item,Arcane Bonds Bestiary,Pet Shop
Leather Leash, 2 sp,Item,Arcane Bonds Bestiary,Pet Shop
Pet Cage (Large), 15 gp,Item,Arcane Bonds Bestiary,Pet Shop
Pet Cage (Medium), 10 gp,Item,Arcane Bonds Bestiary,Pet Shop
Pet Cage (Small), 5 gp,Item,Arcane Bonds Bestiary,Pet Shop
Pet Toy (Interactive), 1 gp,Item,Arcane Bonds Bestiary,Pet Shop
Small Animal Bedding (Bundle), 2 sp,Item,Arcane Bonds Bestiary,Pet Shop
Wooden Perches (for birds), 5 sp,Item,Arcane Bonds Bestiary,Pet Shop
Common Cat or Dog, 5 gp,Item,Arcane Bonds Bestiary,Pet Shop
Exotic Insect, 3 gp,Item,Arcane Bonds Bestiary,Pet Shop
Frog or Toad, 1 sp,Item,Arcane Bonds Bestiary,Pet Shop
Goldfish, 5 gp,Item,Arcane Bonds Bestiary,Pet Shop
Guinea Pig or Rat, 1 gp,Item,Arcane Bonds Bestiary,Pet Shop
Owl, 20 gp,Item,Arcane Bonds Bestiary,Pet Shop
Rabbit or Ferret, 3 gp,Item,Arcane Bonds Bestiary,Pet Shop
Songbird, 2 gp,Item,Arcane Bonds Bestiary,Pet Shop
Sparrowhawk, 15 gp,Item,Arcane Bonds Bestiary,Pet Shop
Turtle or Lizard, 2 gp,Item,Arcane Bonds Bestiary,Pet Shop
Bat (Basic Familiar), 5 gp,Item,Arcane Bonds Bestiary,Pet Shop
Cat (Basic Familiar), 8 gp,Item,Arcane Bonds Bestiary,Pet Shop
Fey Creature (Uncommon Familiar), 30 gp,Item,Arcane Bonds Bestiary,Pet Shop
Hawk (Improved Familiar), 20 gp,Item,Arcane Bonds Bestiary,Pet Shop
Imp (Improved Familiar), 50 gp,Item,Arcane Bonds Bestiary,Pet Shop
Owl (Basic Familiar), 10 gp,Item,Arcane Bonds Bestiary,Pet Shop
Pseudodragon (Exotic Familiar), 75 gp,Item,Arcane Bonds Bestiary,Pet Shop
Quasit (Improved Familiar), 40 gp,Item,Arcane Bonds Bestiary,Pet Shop
Rat (Basic Familiar), 5 gp,Item,Arcane Bonds Bestiary,Pet Shop
Sprite (Exotic Familiar), 60 gp,Item,Arcane Bonds Bestiary,Pet Shop
Animal Training (Basic Commands), 2 gp per pet,Service,Arcane Bonds Bestiary,Pet Shop
Customized Herbal Remedy, 2 gp per pouch,Service,Arcane Bonds Bestiary,Pet Shop
Grooming Service, 5 sp per pet,Service,Arcane Bonds Bestiary,Pet Shop
Herbal Healing Session, 1 gp per session,Service,Arcane Bonds Bestiary,Pet Shop
Pet Boarding Service, 1 gp per day per pet,Service,Arcane Bonds Bestiary,Pet Shop
Specialized Training (Trick or Skill), 10 gp per pet,Service,Arcane Bonds Bestiary,Pet Shop
Miniature Pies, 5 cp,Item,Pie and Pottage Pantry,Pie Seller
Pie Slice, 2 cp,Item,Pie and Pottage Pantry,Pie Seller
Savory Pies, 1 sp,Item,Pie and Pottage Pantry,Pie Seller
Sweet Pies, 8 cp,Item,Pie and Pottage Pantry,Pie Seller
Custom Pie Order (made to specific preferences), 3 sp per pie,Service,Pie and Pottage Pantry,Pie Seller
Custom Pie Order (made with customer-supplied ingredients), 5 sp per pie,Service,Pie and Pottage Pantry,Pie Seller
Artisan-Crafted Feathered Cane, 8 gp,Item,Quill and Plume Market,Plumer
Assorted Feathers, 5 cp,Item,Quill and Plume Market,Plumer
Customized Quill, 5 gp,Item,Quill and Plume Market,Plumer
Decorative Feather Set, 5 sp,Item,Quill and Plume Market,Plumer
Elaborate Feathered Robe, 25 gp,Item,Quill and Plume Market,Plumer
Embroidered Feathered Cloak, 30 gp,Item,Quill and Plume Market,Plumer
Exotic Feather, 1 sp,Item,Quill and Plume Market,Plumer
Feathered Anklet, 1 sp,Item,Quill and Plume Market,Plumer
Feathered Brooch, 1 gp,Item,Quill and Plume Market,Plumer
Feathered Cape, 15 gp,Item,Quill and Plume Market,Plumer
Feathered Circlet, 2 gp,Item,Quill and Plume Market,Plumer
Feathered Cloak, 10 gp,Item,Quill and Plume Market,Plumer
Feathered Cushions Set, 8 sp,Item,Quill and Plume Market,Plumer
Feathered Earrings, 1 gp,Item,Quill and Plume Market,Plumer
Feathered Fan, 2 gp,Item,Quill and Plume Market,Plumer
Feathered Hairpin Set, 5 sp,Item,Quill and Plume Market,Plumer
Feathered Quilt, 6 gp,Item,Quill and Plume Market,Plumer
Feathered Scroll Case, 3 gp,Item,Quill and Plume Market,Plumer
Feathered Shawl, 8 gp,Item,Quill and Plume Market,Plumer
Feathered Tapestry, 10 gp,Item,Quill and Plume Market,Plumer
Feathered Wristbands, 2 sp,Item,Quill and Plume Market,Plumer
Headdress with Plumage, 5 gp,Item,Quill and Plume Market,Plumer
Inkwell, 1 sp,Item,Quill and Plume Market,Plumer
Mastercrafted Feathered Mask, 15 gp,Item,Quill and Plume Market,Plumer
Medallion with Plumage Pendant, 3 gp,Item,Quill and Plume Market,Plumer
Plumage-Adorned Mirror Frame, 5 gp,Item,Quill and Plume Market,Plumer
Plumage-Inlaid Wooden Box, 3 gp,Item,Quill and Plume Market,Plumer
Plumage-Trimmed Tunic, 3 gp,Item,Quill and Plume Market,Plumer
Quill Necklace, 4 gp,Item,Quill and Plume Market,Plumer
Quill Pen, 2 sp,Item,Quill and Plume Market,Plumer
Quill-Decorated Lampshade, 2 gp,Item,Quill and Plume Market,Plumer
Quill-Embossed Pillow Set, 4 gp,Item,Quill and Plume Market,Plumer
Quill-Patterned Belt, 2 gp,Item,Quill and Plume Market,Plumer
Rare Feather Collection, 50 gp,Item,Quill and Plume Market,Plumer
Single Quill, 1 cp,Item,Quill and Plume Market,Plumer
Custom Headdress Design, 5 gp,Service,Quill and Plume Market,Plumer
Custom Ornamental Feather Creation, 10 gp,Service,Quill and Plume Market,Plumer
Feather Consultation, 1 gp,Service,Quill and Plume Market,Plumer
Feather Dyeing Service, 1 sp per feather,Service,Quill and Plume Market,Plumer
Feather Identification Service, 2 sp per feather,Service,Quill and Plume Market,Plumer
Quill Crafting Service, 2 sp per quill,Service,Quill and Plume Market,Plumer
Barrel of Ale (30 gallons), 5 gp,Item,The Burdened Bear Depot,Porter
Bundle of Cloth (10 yards), 2 gp,Item,The Burdened Bear Depot,Porter
Bundle of Firewood (1 day’s worth), 1 cp,Item,The Burdened Bear Depot,Porter
"Bundle of Herbs (medicinal, 1 ounce each)", 5 sp,Item,The Burdened Bear Depot,Porter
Crate of Potatoes (50 pounds), 1 sp,Item,The Burdened Bear Depot,Porter
Leather Straps (set of 5), 2 sp,Item,The Burdened Bear Depot,Porter
Oil Lamp, 1 gp,Item,The Burdened Bear Depot,Porter
Sack of Wheat (50 pounds), 2 sp,Item,The Burdened Bear Depot,Porter
"Spices (assorted, 1 ounce each)", 1 gp,Item,The Burdened Bear Depot,Porter
Wooden Crate (empty), 1 sp,Item,The Burdened Bear Depot,Porter
Custom Crate Construction, 5 sp per crate,Service,The Burdened Bear Depot,Porter
Delivery Service (within town limits), 5 sp per delivery,Service,The Burdened Bear Depot,Porter
Goods Storage (per week), 2 sp per cubic foot,Service,The Burdened Bear Depot,Porter
Porter Hire (per day), 1 gp plus expenses,Service,The Burdened Bear Depot,Porter
Repair of Leather Straps (per set), 2 sp,Service,The Burdened Bear Depot,Porter
Weighing and Measuring Service, 1 cp per use,Service,The Burdened Bear Depot,Porter
Brewer’s Kettle, 7 gp,Item,Iron Remedies,Pot Mender
Cauldron with Lid, 8 gp,Item,Iron Remedies,Pot Mender
Deep-Fry Pan, 2 gp,Item,Iron Remedies,Pot Mender
Griddle Plate, 3 gp,Item,Iron Remedies,Pot Mender
Metal Trinkets, 1 sp – 1 gp,Item,Iron Remedies,Pot Mender
Oven Roasting Pan, 6 gp,Item,Iron Remedies,Pot Mender
Saucepan Set, 4 gp,Item,Iron Remedies,Pot Mender
Traveler’s Mess Pan, 2 gp,Item,Iron Remedies,Pot Mender
Wok, 1 gp,Item,Iron Remedies,Pot Mender
Basic Pot Repair, 5 sp,Service,Iron Remedies,Pot Mender
Metal Jewelry Repair, 5 sp + cost of metal,Service,Iron Remedies,Pot Mender
Metalworking Consultation, 2 gp,Service,Iron Remedies,Pot Mender
Premium Pot Repair, 1 gp,Service,Iron Remedies,Pot Mender
Background Investigation (per individual), 20 gp,Service,Shield & Cipher Investigations,Private Investigator
Cipher Decoding Service (per document), 50+ gp,Service,Shield & Cipher Investigations,Private Investigator
Consultation Fee, 10 gp (Initial discussion of the case and assessment of its complexity),Service,Shield & Cipher Investigations,Private Investigator
Missing Persons Investigation (per day), 50 gp ,Service,Shield & Cipher Investigations,Private Investigator
Official Document Authentication, 30 gp,Service,Shield & Cipher Investigations,Private Investigator
Rumor Investigation (per day), 15 gp,Service,Shield & Cipher Investigations,Private Investigator
Secret Society Infiltration (per week), 300 gp,Service,Shield & Cipher Investigations,Private Investigator
Security Consultation (business), 75+ gp,Service,Shield & Cipher Investigations,Private Investigator
Security Consultation (home), 40 gp,Service,Shield & Cipher Investigations,Private Investigator
Surveillance Services (per day), 25 gp,Service,Shield & Cipher Investigations,Private Investigator
Undercover Operations (per day), 75 gp,Service,Shield & Cipher Investigations,Private Investigator
General Admission, 1 sp,Item,Mireaux Puppet Palace,Puppet Theater
Glove Puppet, 10 sp,Item,Mireaux Puppet Palace,Puppet Theater
Hand Puppet, 5 sp,Item,Mireaux Puppet Palace,Puppet Theater
Marionette, 15 sp,Item,Mireaux Puppet Palace,Puppet Theater
"Puppet Accessories (hats, props, etc.)", 1 - 5 sp ,Item,Mireaux Puppet Palace,Puppet Theater
Puppet Clothing Set, 2 sp,Item,Mireaux Puppet Palace,Puppet Theater
Puppet Repair Kit, 3 sp,Item,Mireaux Puppet Palace,Puppet Theater
Shadow Puppet, 8 sp,Item,Mireaux Puppet Palace,Puppet Theater
VIP Admission (includes front row seating and refreshments), 2 sp,Item,Mireaux Puppet Palace,Puppet Theater
Advanced Puppetry Techniques Demonstration, 3 sp per person,Service,Mireaux Puppet Palace,Puppet Theater
Advanced Puppetry Techniques Lesson, 8 sp per person,Service,Mireaux Puppet Palace,Puppet Theater
Beginner Puppetry Lesson (group), 5 sp per person,Service,Mireaux Puppet Palace,Puppet Theater
Custom Glove Puppet, 20 sp,Service,Mireaux Puppet Palace,Puppet Theater
Custom Hand Puppet, 15 sp,Service,Mireaux Puppet Palace,Puppet Theater
Custom Marionette, 25 sp,Service,Mireaux Puppet Palace,Puppet Theater
Custom Shadow Puppet, 18 sp,Service,Mireaux Puppet Palace,Puppet Theater
Puppet Making Workshop (basic), 5 sp per person,Service,Mireaux Puppet Palace,Puppet Theater
Exterminator’s Mask (protects against noxious fumes), 1 gp ,Item,Ratsbane Wranglers,Rat Catcher
Ferret Companion (trained for rat hunting), 10 gp each,Item,Ratsbane Wranglers,Rat Catcher
Herbal Rat Repellent, 2 gp ,Item,Ratsbane Wranglers,Rat Catcher
Insect Spray, 3 gp per bottle,Item,Ratsbane Wranglers,Rat Catcher
Mousetrap, 1 sp each,Item,Ratsbane Wranglers,Rat Catcher
Nightshade Extract (potent poison for large infestations), 15 gp per vial,Item,Ratsbane Wranglers,Rat Catcher
Pest Control Net (captures flying pests), 2 gp ,Item,Ratsbane Wranglers,Rat Catcher
Pest Repellent Candles (for indoor use), 1 gp each,Item,Ratsbane Wranglers,Rat Catcher
Poisoned Bait, 5 gp per batch,Item,Ratsbane Wranglers,Rat Catcher
Polearm, 2 gp each,Item,Ratsbane Wranglers,Rat Catcher
"Rat Charm Amulet (folklore item, said to ward off rats)", 1 gp each,Item,Ratsbane Wranglers,Rat Catcher
Ratbane Elixir (rat repellant), 10 gp ,Item,Ratsbane Wranglers,Rat Catcher
"Rodent Teeth Necklace (folklore item, said to bring luck)", 3 gp ,Item,Ratsbane Wranglers,Rat Catcher
Smoking Pot (for fumigation), 5 gp ,Item,Ratsbane Wranglers,Rat Catcher
Specialized Rat Trap, 5 sp ,Item,Ratsbane Wranglers,Rat Catcher
Standard Rat Trap, 1 sp,Item,Ratsbane Wranglers,Rat Catcher
Beehive Removal Service, 10 gp,Service,Ratsbane Wranglers,Rat Catcher
Custom Pest Control Plan (tailored to specific needs), 15 gp,Service,Ratsbane Wranglers,Rat Catcher
Custom Rat Traps (crafted to specific needs), 3 gp each,Service,Ratsbane Wranglers,Rat Catcher
Emergency Rat Infestation Response, 10 gp ,Service,Ratsbane Wranglers,Rat Catcher
Ferret Handling Lessons, 5 gp per session,Service,Ratsbane Wranglers,Rat Catcher
Full Property Inspection (includes preventive advice), 5 gp,Service,Ratsbane Wranglers,Rat Catcher
Full Property Pest Inspection (including insects), 8 gp,Service,Ratsbane Wranglers,Rat Catcher
Fumigation Service (with specialized smoke), 3 gp per room,Service,Ratsbane Wranglers,Rat Catcher
Insect Extermination Service (per room), 2 gp,Service,Ratsbane Wranglers,Rat Catcher
Rat Removal Service (per room), 1 gp,Service,Ratsbane Wranglers,Rat Catcher
Aldyris Brandy (per bottle), 50 gp,Item,Blackwood Distillery,Rectifier
"Barrels (empty, per barrel)", 2 gp,Item,Blackwood Distillery,Rectifier
Brandy (per bottle), 5 gp,Item,Blackwood Distillery,Rectifier
Distillation Equipment, 10 - 100 gp ,Item,Blackwood Distillery,Rectifier
Gin (per bottle), 3 gp,Item,Blackwood Distillery,Rectifier
Rum (per bottle), 3 gp,Item,Blackwood Distillery,Rectifier
Specialty Brews (per bottle), 2 - 10 gp ,Item,Blackwood Distillery,Rectifier
Vodka (per bottle), 3 gp,Item,Blackwood Distillery,Rectifier
Whiskey (per bottle), 4 gp,Item,Blackwood Distillery,Rectifier
Wine (per bottle), 2 gp,Item,Blackwood Distillery,Rectifier
Aging Service (per barrel), 5+ gp ,Service,Blackwood Distillery,Rectifier
Corking Service (per bottle), 1 sp,Service,Blackwood Distillery,Rectifier
Custom Distillation Service (per batch), 10 gp ,Service,Blackwood Distillery,Rectifier
Flavoring Services (per batch), 3+ gp ,Service,Blackwood Distillery,Rectifier
Labeling Service (per bottle), 1 cp,Service,Blackwood Distillery,Rectifier
10 feet of bast rope, 5 cp,Item,Hemp Haven,Rope Maker
10 feet of hide rope, 2 sp,Item,Hemp Haven,Rope Maker
10 feet of horsehair rope, 5 sp,Item,Hemp Haven,Rope Maker
10 feet of wool rope, 1 sp,Item,Hemp Haven,Rope Maker
50 feet of hemp rope, 1 gp,Item,Hemp Haven,Rope Maker
50 feet of hempen rope (enhanced quality), 5 gp,Item,Hemp Haven,Rope Maker
50 feet of hempen rope (stronger and thicker), 2 gp,Item,Hemp Haven,Rope Maker
50 feet of silk rope, 10 gp,Item,Hemp Haven,Rope Maker
50 feet of thick cordage, 5 sp,Item,Hemp Haven,Rope Maker
50 feet of thin cordage, 2 sp,Item,Hemp Haven,Rope Maker
